TargetName  CCA004	CIC007	CMV008	CST005	CUM009	DDI103	DKE111	DMA102	DPE106	DTM108	SBF008	SBS002	SCB003	SNG010	SWA009
hsa-miR-152	27.089	29.013	39.14	29.741	38.185	30.889	30.507	37.665	39.453	37.521	30.625	33.315	NA	29.508	27.259
hsa-miR-155	17.783	18.503	19.827	15.329	17.234	15.916	17.893	15.593	16.797	14.955	16.272	19.332	22.644	15.355	15.459
hsa-miR-15a	26.452	27.186	29.596	27.927	28.217	27.514	30.433	26.914	27.911	27.437	27.877	26.57	NA	28.202	27.924
hsa-miR-15b	28.838	31.428	32.849	NA	33.279	NA	NA	NA	NA	31.568	31.238	38.483	NA	30.484	28.985
hsa-miR-16	26.744	30.802	30.587	29.753	33.84	33.09	35.119	39.376	33.565	31.852	33.08	31.233	28.434	31.381	26.343
hsa-miR-181a	29.518	NA	36.591	30.66	30.396	NA	NA	30.356	36.25	NA	33.589	30.908	34.462	33.007	27.287
hsa-miR-184	20.671	21.94	25.463	19.864	23.203	21.769	24.566	24.542	25.15	26.59	23.697	24.38	25.868	22.922	19.912
hsa-miR-186	27.024	29.084	28.396	28.627	31.356	28.832	32.161	30.51	28.511	30.208	30.664	28.306	35.537	28.763	29.373
hsa-miR-191	25.52	27.23	30.047	25.985	29.294	27.331	29.332	30.725	29.833	29.817	29.423	20.22	35.28	25.756	26.342
hsa-miR-192	28.981	30	30.336	28.948	30.956	29.666	32.912	30.534	31.009	30.375	27.859	29.762	33.779	28.04	28.259
hsa-miR-193a-5p	26.25	31.288	32.487	33.783	32.478	NA	NA	33.485	36.631	NA	33.734	29.833	34.398	35.16	29.958
hsa-miR-193b	23.6	28.118	30.21	30.083	27.643	32.022	32.275	NA	33.033	34.8	29.086	29.386	34.258	30.792	24.515
hsa-miR-194	17.68	14.461	15.33	21.512	15.282	14.022	15.933	14.186	14.936	14.268	14.426	13.879	18.077	14.411	14.666
hsa-miR-195	25.222	34.223	28.259	25.996	30.659	31.777	31.645	31.782	23.954	26.417	31.68	29.503	31.708	27.654	25.143
hsa-miR-197	24.537	28.711	27.287	28.157	28.399	28.318	31.927	29.657	28.998	30.206	29.4	28.788	29.183	28.318	27.635
hsa-miR-199a-3p	25.9	29.217	33.12	30.949	31.145	NA	33.166	NA	NA	34.308	33.127	NA	31.524	31.059	29.871
hsa-miR-19a	26.479	31.242	29.865	29.172	NA	NA	37.47	35.401	31.725	NA	38.595	33.658	30.329	34.38	28.15
hsa-miR-19b	22.971	25.911	25.626	25.032	28.098	28.102	32.093	28.079	28.176	30.762	25.911	26.528	27.709	26.443	24.117
hsa-miR-200b	28.12	31.22	30.746	32.873	33.232	NA	NA	NA	NA	NA	32.046	31.895	NA	33.532	25.938
hsa-miR-200c	26.52	34.677	31.132	NA	29.286	30.993	34.356	NA	NA	35.112	33.838	33.91	37.722	30.298	24.565
hsa-miR-202	30.26	31.309	31.233	31.238	35.49	33.845	37.124	30.81	32.607	34.919	31.6	30.399	31.358	30.315	34.086
hsa-miR-203	25.363	27.14	26.927	30.274	27.328	31.674	31.255	31.007	29.138	28.75	28.647	28.963	31.507	27.643	24.765
hsa-miR-204	21.367	24.205	22.446	22.844	24.795	27.392	27.185	24.618	27.452	29.087	25.177	23.177	27.567	23.288	21.982
hsa-miR-20a	25.443	26.631	27.054	27.028	28.474	29.208	31.837	28.326	28.159	29.304	30.158	27.797	28.652	26.572	25.74
hsa-miR-20b	30.061	31.893	33.226	32.077	NA	NA	NA	NA	NA	NA	NA	NA	30.969	NA	31.234
hsa-miR-21	22.206	27.308	25.576	24.903	27.586	25.736	31.278	28.877	30.617	28.05	27.186	27.484	28.17	27.721	24.401
hsa-miR-211	18.203	24.163	21.073	22.299	25.794	27.218	27.949	23.809	30.903	29.496	24.512	21.898	26.176	23.084	23.397
hsa-miR-212	29.73	28.825	28.318	28.629	32.362	30.965	33.258	29.142	30.113	30.18	32.281	31.509	30.444	27.906	30.706
hsa-miR-214	27.81	NA	33.252	29.684	29.586	NA	NA	NA	NA	33.337	33.369	NA	NA	NA	29.575
hsa-miR-218	28.887	29.079	30.223	30.676	28.977	32.385	32.328	28.545	30.118	28.587	29.869	29.426	30.252	28.988	28.968
hsa-miR-222	25.487	30.92	28.467	26.701	27.886	28.521	30.058	29.44	28.359	31.03	26.805	28.505	32.904	27.663	25.658
hsa-miR-223	24.986	27.512	29.062	29.063	29.638	31.625	28.6	29.357	28.415	31.422	30.27	30.305	29.984	27.134	26.659
hsa-miR-23b	28.682	NA	NA	31.699	NA	34.064	NA	34.035	NA	NA	31.77	31.484	NA	35.181	29.134
hsa-miR-24	22.075	25.088	25.842	23.597	25.459	24.907	27.15	26.701	27.419	28.394	25.646	25.688	26.94	25.836	22.821
hsa-miR-25	26.361	26.122	26.954	25.497	27.11	30.884	28.936	26.125	27.918	25.555	10.604	26.868	34.064	26.204	25.317
hsa-miR-26a	28.383	30.603	32.204	30.46	31.141	34.646	29.081	NA	NA	32.038	33.354	NA	33.887	32.008	28.626
hsa-miR-27a	28.215	30.764	30.811	31.284	30.671	30.069	30.204	29.517	31.149	29.168	29.439	29.713	31.402	32.036	27.982
hsa-miR-27b	26.058	27.479	31.506	26.5	31.292	27.676	28.852	29.954	30.725	29.738	27.892	27.919	29.504	27.319	27.266
hsa-miR-28-3p	25.763	29.175	31.019	29.305	28.105	28.368	28.91	28.45	28.777	28.772	28.476	28.798	31.178	29.641	27.285
hsa-miR-296	26.026	12.012	31.303	23.483	NA	32.251	NA	30.079	30.781	34.34	33.486	27.522	NA	34.781	27.147
hsa-miR-29a	24.815	29.158	29.191	26.613	29.152	29.793	30.349	30.092	35.348	32.652	29.403	29.693	29.658	29.547	27.016
hsa-miR-29c	26.838	30.539	31.178	27.975	31.042	30.796	32.741	34.017	32.062	35.382	31.222	29.971	31.723	30.568	28.356
hsa-miR-302a	20.312	20.21	20.973	18.662	21.112	21.114	22.176	19.311	20.647	19.188	28.684	22.39	25.97	19.704	18.903
hsa-miR-302b	23.365	20.557	21.456	20.005	20.453	21.728	22.89	20.463	21.154	20.606	21.5	25.263	26.925	20.243	20.104
hsa-miR-302c	25.197	24.906	25.901	23.144	24.407	24.78	26.461	23.565	24.245	23.773	23.344	21.873	31.29	23.745	22.775
hsa-miR-30b	25.023	27.039	29.523	26.896	27.89	30.887	30.433	28.164	31.079	30.722	30.478	28.953	37.559	27.148	26.346
hsa-miR-30c	25.148	27.926	29.421	26.594	28.393	30.367	30.007	28.52	30.262	29.838	28.998	27.834	34.352	28.61	26.177
hsa-miR-320	22.307	27.312	24.368	25.443	26.286	27.606	30.368	25.805	27.669	30.824	28.272	26.621	28.964	26.207	23.269
hsa-miR-328	23.164	27.878	27.473	26.136	28.096	27.295	32.474	28.192	29.771	31.451	29.855	27.905	30.281	27.019	25.274
hsa-miR-331	27.511	31.555	31.981	29.315	19.062	29.824	34.395	NA	29.097	NA	NA	30.743	32.33	34.017	29.006
hsa-miR-335	28.592	33.135	31.794	30.363	NA	32.308	NA	31.856	34.968	NA	33.354	33.832	32.036	30.748	30.68
hsa-miR-340	33.857	NA	35.016	35.299	33.679	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.564
hsa-miR-342-3p	26.434	32.032	30.793	30.925	32.271	31.469	35.114	36.356	34.311	38.186	32.805	32.24	NA	31.246	28.616
hsa-miR-345	26.626	30.479	32.93	29.988	33.406	29.407	32.849	32.277	33.494	33.88	31.502	28.301	32.612	31.149	28.995
hsa-miR-34a	16.913	17.514	16.058	15.19	15.711	13.723	16.683	14.51	15.65	14.798	16.952	15.98	20.785	14.933	15.004
hsa-miR-363	27.899	29.997	29.327	28.392	28.94	32.266	29.878	27.847	28.949	29.511	29.567	31.462	30.754	28.976	29.445
hsa-miR-365	26.552	34.212	31.441	33.221	31.561	NA	38.495	35.474	39.469	NA	33.253	33.17	34.171	33.489	29.243
hsa-miR-367	20.825	20.797	20.662	17.922	18.683	21.361	19.996	17.583	17.909	18.127	21.015	17.837	24.929	18.008	16.326
hsa-miR-372	26.798	27.484	26.874	26.467	27.506	27.573	29.779	26.004	27.807	26.768	27.567	26.527	34.791	27.192	25.834
hsa-miR-373	30.659	29.726	28.565	28.214	29.785	30.681	31.564	28.208	29.962	29.267	28.849	28.826	33.462	29.104	28.486
hsa-miR-374	21.536	20.331	19.797	18.839	19.685	16.813	20.786	18.217	19.014	18.509	20.851	18.717	25.567	19.925	19.723
hsa-miR-375	32.192	31.434	31.941	29.727	28.309	33.811	34.461	30.947	32.43	27.941	31.944	28.529	36.691	30.862	26.782
hsa-miR-376a	34.61	32.528	30.421	30.322	30.824	33.292	33.98	31.161	30.163	31.084	30.719	33.665	31.867	33.353	30.772
hsa-miR-381	28.626	28.361	29.514	27.537	28.942	27.974	31.581	27.53	28.189	28.077	28.165	28.055	30.584	28.517	27.623
hsa-miR-383	32.12	28.077	29.345	26.244	31.387	38.027	33.676	31.63	32.827	31.992	30.364	29.758	34.24	28.407	29.24
hsa-miR-410	20.196	20.879	22.677	20.885	20.555	20.772	23.123	19.583	22.061	19.697	22.952	19.863	NA	21.279	20.649
hsa-miR-411	34.252	31.825	34.251	29.424	31.708	37.678	35.345	29.585	35.173	33.278	32.305	30.145	NA	32.462	32.943
hsa-miR-422a	NA	32.572	32.255	31.105	NA	38.519	35.1	31.962	NA	30.473	31.79	32.792	NA	33.107	30.382
hsa-miR-429	30.681	NA	33.507	NA	35.172	NA	NA	NA	NA	NA	34.672	NA	34.449	33.882	29.743
hsa-miR-454	22.232	17.763	18.893	17.45	17.697	16.857	21.015	15.393	18.128	17.125	16.87	18.292	23.703	18.894	16.695
hsa-miR-483-5p	16.8	17.565	17.677	15.049	15.088	27.735	16.337	13.531	18.082	14.276	15.877	14.558	21.433	15.828	16.559
hsa-miR-484	24.92	28.642	29.256	27.833	29.557	28.036	31.764	29.21	28.425	NA	NA	NA	29.798	28.549	27.601
hsa-miR-486	NA	18.591	18.908	18.521	19.125	21.667	NA	21.286	21.043	NA	16.637	NA	NA	22.882	30.021
hsa-miR-509-5p	24.889	23.905	25.849	25.695	25.188	28.03	27.733	24.618	26.914	25.014	24.192	27.766	26.405	24.998	24.252
hsa-miR-512-3p	27.25	29.247	24.775	NA	26.737	26.666	27.005	25.293	26.302	26.892	25.645	24.895	26.631	NA	24.653
hsa-miR-518d	28.022	31.413	25.513	30.367	27.686	25.962	28.931	26.32	26.952	28.338	26.186	26.98	32.307	30.361	26.319
hsa-miR-518f	17.54	16.155	17.166	15.653	16.405	14.713	16.231	14.937	15.811	15.144	16.094	16.921	19.404	15.287	14.316
hsa-miR-520b	30.699	29.057	29.144	29.748	30.529	29.904	29.605	28.436	29.595	30.445	29.333	30.35	30.796	29.19	31.856
hsa-miR-520d-5p	34.386	32.933	32.681	34.364	32.08	31.683	31.709	32.307	32.345	32.001	31.504	31.106	31.924	31.321	31.836
hsa-miR-520e	24.42	23.086	23.658	21.769	23.566	27.654	24.07	22.083	23.642	21.999	23.317	21.778	28.99	22.487	22.597
hsa-miR-520f	30.33	28.709	30.887	27.969	30.824	35.948	34.374	30.099	31.012	31.6	30.157	29.204	NA	28.27	28.91
hsa-miR-523	19.173	17.75	18.38	17.679	18.68	14.864	18.948	17.902	17.62	17.734	17.886	18.605	24.277	17.375	16.683
hsa-miR-532	27.746	32.154	34.109	32.446	34.094	NA	NA	NA	NA	NA	33.754	NA	NA	35.13	29.774
hsa-miR-544	26.613	26.53	27.033	26.814	26.738	23.227	28.243	25.755	26.823	25.258	25.34	26.025	NA	26.576	25.779
hsa-miR-548a	32.06	32.763	31.658	31.793	31.605	30.234	30.365	31.073	33.125	31.978	30.99	30.716	31.538	29.968	29.662
hsa-miR-548c	32.971	31.148	30.766	32.005	34.218	31.088	32.301	30.324	31.423	31.388	33.331	32.906	33.229	31.287	31.279
hsa-miR-551b	15.6	14.486	17.32	15.496	15.655	21.4	17.985	14.796	17.154	15.576	14.066	14.106	20.606	15.039	15.383
hsa-miR-574-3p	23.763	30.396	28.776	28.622	30.484	29.81	38.071	33.178	31.324	33.97	29.001	29.382	30.392	29.729	26.727
hsa-miR-590-5p	25.26	25.075	25.381	24.633	24.729	25.342	26.568	23.794	25.415	23.685	24.229	24.757	31.01	23.726	23.415
hsa-miR-597	29.277	27.647	27.318	27.046	27.678	26.913	29.887	27.739	30.088	27.196	28.365	28.342	29.67	27.655	28.979
hsa-miR-598	31.897	28.988	33.303	37.102	31.027	NA	35.402	NA	34.34	36.063	NA	36.675	36.114	34.321	35.936
hsa-miR-618	17.082	14.94	15.624	29.019	13.383	15.954	14.308	13.86	14.447	13.414	16.395	29.273	18.181	14.351	13.856
hsa-miR-628-5p	15.356	16.297	16.139	15.578	15.45	13.941	17.19	14.48	14.835	14.945	13.951	14.463	22.495	14.288	15.231
hsa-miR-651	25.435	27.939	27.848	27.805	27.438	27.745	29.052	26.25	27.717	26.316	24.506	23.823	34.744	26.865	25.375
hsa-miR-652	26.17	19.551	20.469	20.321	20.294	17.898	22.497	17.25	19.326	19.327	18.103	22.583	25.56	18.869	20.576
hsa-miR-660	26.624	32.344	31.563	36.404	NA	NA	NA	NA	NA	NA	NA	37.359	NA	32.201	34.234
hsa-miR-708	27.187	25.834	27.488	25.159	26.856	27.256	27.18	24.505	26.353	25.554	27.952	25.467	32.951	25.721	24.668
hsa-miR-885-5p	35.619	37.044	36.111	35.084	35.652	37.973	32.012	35.948	37.051	38.538	36.533	37.041	34.148	34.422	28.972
hsa-miR-9	NA	30.535	NA	32.061	19.522	34.487	NA	32.128	NA	NA	32.102	33.625	NA	30.204	26.54
hsa-miR-92a	24.678	28.544	28.288	27.684	29.977	29.373	NA	29.233	30.85	31.404	29.554	28.352	31.306	28.216	26.43
hsa-miR-99a	23.662	26.998	28.73	25.044	28.24	30.871	30.412	27.743	28.604	29.572	28.328	24.599	29.706	25.998	23.904
hsa-miR-99b	23.859	32.707	26.826	26.183	37.542	31.522	NA	22.811	23.299	23.72	32.205	30.12	NA	24.485	24.174
mmu-miR-140	28.072	31.731	34.879	29.027	30.968	32.101	NA	34.309	NA	NA	34.069	34.383	32.317	32.968	31.354
mmu-miR-93	28.285	30.578	33.314	29.203	NA	31.956	NA	NA	NA	NA	NA	34.931	NA	31.61	27.67
RNU48	30.7	32.981	35.41	31.929	NA	32.624	32.381	NA	NA	NA	NA	NA	29.971	NA	29.418
U6_snRNA_rt1	24.406	28.81	27.847	28.402	27.432	27.206	28.256	29.75	30.082	29.104	30.031	29.931	28.152	28.024	25.058
U6_snRNA_rt2	24.886	28.295	27.948	28.579	27.4	26.31	26.805	29.829	29.801	29.151	30.03	30.657	28.013	28.012	25.332
U6_snRNA_rt3	24.063	28.07	28.125	28.408	27.447	26.879	28.401	29.848	29.982	28.956	30.052	30.066	28.156	27.791	24.9
U6_snRNA_rt4	24.885	27.815	28.083	28.055	27.336	27.173	28.597	30.403	30.674	28.98	29.816	30.772	28.275	27.987	25.121
